Threat Title,Category,Interaction,Unnamed: 3,Priority,Description,Handling_Decision,Justification
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,High,API Backend may be spoofed by an attacker and this may lead to unauthorized access to Student Database. Consider using a standard authentication mechanism to identify the source process.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Spoofing of Destination Data Store Student Database,Spoofing,SQL Query,API Backend and Databases,High,Student Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Student Database. Consider using a standard authentication mechanism to identify the destination data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,High,API Backend may be spoofed by an attacker and this may lead to unauthorized access to Finance Database. Consider using a standard authentication mechanism to identify the source process.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Spoofing of Destination Data Store Finance Database,Spoofing,SQL Query,API Backend and Databases,High,Finance Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Finance Database. Consider using a standard authentication mechanism to identify the destination data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Spoofing the Upload Scan Service Process,Spoofing,Store File,Upload Scan Service and Object Storage,High,Upload Scan Service may be spoofed by an attacker and this may lead to unauthorized access to Object Storage (LMS Files). Consider using a standard authentication mechanism to identify the source process.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing of Destination Data Store Object Storage (LMS Files),Spoofing,Store File,Upload Scan Service and Object Storage,High,Object Storage (LMS Files) may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Object Storage (LMS Files). Consider using a standard authentication mechanism to identify the destination data store.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing the Audit Service Process,Spoofing,Write Log,Audit service and Log Store,High,Audit Service may be spoofed by an attacker and this may lead to unauthorized access to Log Store. Consider using a standard authentication mechanism to identify the source process.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing of Destination Data Store Log Store,Spoofing,Write Log,Audit service and Log Store,High,Log Store may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Log Store. Consider using a standard authentication mechanism to identify the destination data store.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing the Student External Entity,Spoofing,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Student may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing of the Payment Provider External Destination Entity,Spoofing,Payment API Call,API Backend and Payment Provider,High,Payment Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Payment Provider. Consider using a standard authentication mechanism to identify the external entity.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Spoofing of the Job Portal External Destination Entity,Spoofing,Job Feed Request,API Backend and Job Portal,High,Job Portal may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Job Portal. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing of the Identity Provider External Destination Entity,Spoofing,OAuth Token Request,Identity Provider and API Backend,High,Identity Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Identity Provider. Consider using a standard authentication mechanism to identify the external entity.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Spoofing of the Email/SMS Gateway External Destination Entity,Spoofing,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,High,Email/SMS Gateway may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Email/SMS Gateway. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Store Denies HR Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,High,"HR Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Denies Student Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,High,"Student Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Denies Finance Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,High,"Finance Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Denies Object Storage (LMS Files) Potentially Writing Data,Repudiation,Store File,Upload Scan Service and Object Storage,High,"Object Storage (LMS Files) claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Store Denies Log Store Potentially Writing Data,Repudiation,Write Log,Audit service and Log Store,High,"Log Store claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Data Repudiation by Admin Portal,Repudiation,Admin Login (HTTPS),Admin and Admin Portal,High,"Admin Portal claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
External Entity Payment Provider Potentially Denies Receiving Data,Repudiation,Payment API Call,API Backend and Payment Provider,High,"Payment Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
External Entity Job Portal Potentially Denies Receiving Data,Repudiation,Job Feed Request,API Backend and Job Portal,High,"Job Portal claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
External Entity Identity Provider Potentially Denies Receiving Data,Repudiation,OAuth Token Request,Identity Provider and API Backend,High,"Identity Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
External Entity Email/SMS Gateway Potentially Denies Receiving Data,Repudiation,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,High,"Email/SMS Gateway claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Data Repudiation by API Backend,Repudiation,OAuth Token Response,Identity Provider and API Backend,High,"API Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Potential Data Repudiation by API Backend,Repudiation,Payment Webhook,Payment Provider and API Backend,High,"API Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,High,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,High,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,High,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow Sniffing,Information Disclosure,Store File,Upload Scan Service and Object Storage,High,"Data flowing across Store File may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Sniffing,Information Disclosure,Write Log,Audit service and Log Store,High,"Data flowing across Write Log may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Excessive Resource Consumption for API Backend or HR Database,Denial Of Service,SQL Query,API Backend and Databases,High,"Does API Backend or HR Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent prevents access to a data store on the other side of the trust boundary.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Potential Excessive Resource Consumption for API Backend or Student Database,Denial Of Service,SQL Query,API Backend and Databases,High,"Does API Backend or Student Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow SQL Query Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent prevents access to a data store on the other side of the trust boundary.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Potential Excessive Resource Consumption for API Backend or Finance Database,Denial Of Service,SQL Query,API Backend and Databases,High,"Does API Backend or Finance Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent prevents access to a data store on the other side of the trust boundary.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Potential Excessive Resource Consumption for Upload Scan Service or Object Storage (LMS Files),Denial Of Service,Store File,Upload Scan Service and Object Storage,High,"Does Upload Scan Service or Object Storage (LMS Files) take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,Store File,Upload Scan Service and Object Storage,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Store Inaccessible,Denial Of Service,Store File,Upload Scan Service and Object Storage,High,An external agent prevents access to a data store on the other side of the trust boundary.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Excessive Resource Consumption for Audit Service or Log Store,Denial Of Service,Write Log,Audit service and Log Store,High,"Does Audit Service or Log Store take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Write Log Is Potentially Interrupted,Denial Of Service,Write Log,Audit service and Log Store,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Store Inaccessible,Denial Of Service,Write Log,Audit service and Log Store,High,An external agent prevents access to a data store on the other side of the trust boundary.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Portal Request (HTTPS) Is Potentially Interrupted,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Portal Request (HTTPS) Is Potentially Interrupted,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Process Crash or Stop for Admin Portal,Denial Of Service,Admin Login (HTTPS),Admin and Admin Portal,High,"Admin Portal crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Data Flow Admin Login (HTTPS) Is Potentially Interrupted,Denial Of Service,Admin Login (HTTPS),Admin and Admin Portal,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Internet Traffic (HTTPS) Is Potentially Interrupted,Denial Of Service,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow Payment API Call Is Potentially Interrupted,Denial Of Service,Payment API Call,API Backend and Payment Provider,High,An external agent interrupts data flowing across a trust boundary in either direction.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Data Flow Job Feed Request Is Potentially Interrupted,Denial Of Service,Job Feed Request,API Backend and Job Portal,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Data Flow OAuth Token Request Is Potentially Interrupted,Denial Of Service,OAuth Token Request,Identity Provider and API Backend,High,An external agent interrupts data flowing across a trust boundary in either direction.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Data Flow Send Notifications (HTTPS) Is Potentially Interrupted,Denial Of Service,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,High,An external agent interrupts data flowing across a trust boundary in either direction.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential Process Crash or Stop for API Backend,Denial Of Service,OAuth Token Response,Identity Provider and API Backend,High,"API Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Data Flow OAuth Token Response Is Potentially Interrupted,Denial Of Service,OAuth Token Response,Identity Provider and API Backend,High,An external agent interrupts data flowing across a trust boundary in either direction.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Potential Process Crash or Stop for API Backend,Denial Of Service,Payment Webhook,Payment Provider and API Backend,High,"API Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
